Year,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,Nebraska,North Carolina,North Dakota,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhodes Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
1990,-0.843195911865,0.903577775444,1.32956439204,-0.813370569247,1.4201605337,-0.842448300795,1.05020106012,1.80960555605,-0.0581397383927,0.0,1.52447421438,0.47539298479,0.0483275839991,0.13501042245,0.107715813844,-1.42379975819,-0.237625308083,0.752320008655,0.427065276003,0.426692609249,0.949192074043,-1.08166592347,1.08740542909,-2.03755974555,0.230553804212,-0.362433100885,-2.21603416125,0.239833054032,1.33090872911,-0.991315371076,0.250735975798,0.696949798711,-0.876981982527,-1.2992892777,1.38480966201,0.750185027469,0.423756817199,0.138000538992,1.10005384103,1.75577070299,2.6868658905,0.288150216268,0.185086291968,1.55134606104,-0.530498639536,1.54038430113,0.633946718609,0.76075630805,1.52222554442,0.939029565561,0.753275003551
1991,-0.109982075461,0.699517379982,1.68881364876,-0.728064152524,1.81907526807,0.927446277504,0.908719008137,1.87103787811,0.450582972543,-4.0797836591,1.47913187531,0.545598699843,0.0,-1.87326961149,1.75074587974,-0.370200746843,1.4071720919,0.779560562749,-1.94781651225,1.30888407985,1.02888777594,0.0,1.27041068589,0.101877987278,1.60785815669,1.2834260756,-0.167174506902,1.08528770494,2.15294059121,-1.25218783715,2.5626066679,0.306089387198,-0.237515953601,-0.475990960095,1.61498276105,1.65080293644,-0.118604228724,1.2996506457,0.487196129968,0.445494058966,1.46238273728,-0.132068849123,-0.736232139163,2.16895388799,-0.321875579045,1.99894341872,0.633946718609,-0.0676227829378,1.79448050765,1.02234017341,-0.451965002131
1992,-0.201633805011,0.396945069469,1.35351434248,-0.277158806987,1.88790210604,1.64293557511,1.1633867017,1.57155530804,-1.16037227875,0.336209684285,0.889681467368,0.334981554683,-2.37313873006,0.607546901025,1.66477337629,0.929985267155,1.57732354707,0.343711697245,1.09952284329,0.237651579835,1.46152158625,0.0,1.01656468452,0.940873176624,1.54304383422,0.881997008166,0.0738678053752,0.360612289875,1.59395892498,0.834791891433,-0.038247860715,0.235023857832,-0.708701448599,-0.548634929295,1.67292843634,1.20049398195,-0.640105234419,1.2996506457,0.955852026661,0.314466394565,1.12564987014,-1.39272604529,1.19277832602,1.27636872466,-0.42618710929,1.80241808261,-0.219443094903,1.50038049643,1.00494111428,1.27227199694,0.30131000142
1993,1.2647938678,1.00208969049,1.56906389652,-0.0699860806587,2.1323076123,1.22870492913,2.32353952792,1.36422122106,-0.990798041775,0.589355799511,1.83053500312,0.405187269736,-1.42184839239,-0.101257816837,0.871915844492,0.907568266913,-2.16600846668,0.643357792279,2.03585616482,1.1828567269,1.90554049683,-2.50946494246,0.9634341261,1.10867221449,2.20739063953,1.88556967676,0.0,-0.424452743107,2.33926781328,0.57391942536,0.250735975798,0.519285975296,-0.675045341814,-0.524420272895,1.77594297017,0.72420566471,1.02869798381,1.02452298885,1.70089473422,0.838577052172,1.76850352559,1.75891694513,1.19277832602,1.08432106115,1.1384858444,1.51418092299,0.349483447438,1.88498507439,1.60390203339,1.73048034008,0.0
1994,-0.201633805011,1.17096725915,2.50311196401,0.856197872337,1.56062346834,-0.0516443402786,2.26694670713,1.31814697951,-1.66909498969,0.410043967892,1.09372199319,1.03703870522,-0.297596175152,0.843815140312,1.54059087131,1.51282727343,0.0,-1.45416487296,2.58914403663,1.02532253573,1.38182588435,0.735532827961,0.786332264684,1.27647125236,2.11016915582,1.80528386327,0.0,-1.14912815817,2.21870314017,-2.03480523537,-0.471723615485,0.181724710807,-0.237515953601,0.419951326712,1.05323163122,0.654927364021,0.152576294238,1.75819674045,0.499212947832,1.23166004538,0.911365318329,-0.762397447208,0.645745507534,0.756967089269,1.24279737464,2.11685862039,-1.64175945076,2.77253410045,1.76725501132,0.939029565561,0.30131000142
1995,0.714883490494,0.931724036887,1.64091374787,1.34366311076,1.27688834037,1.15339026622,0.455976441806,1.01098536918,-2.09303058214,-0.166566627901,0.651634187239,1.38806728048,0.39425134315,1.78888809746,0.260555819974,1.17657226981,0.0,0.915763333219,1.61025010958,1.27737724161,1.45013648598,-0.0432666369389,0.125151982067,2.78666259318,0.506014674707,0.560853754217,-0.0466533507633,-1.02834892232,1.44051297739,-0.991315371076,-0.327231697228,0.341622151881,-0.0692354196732,0.371522013911,0.311205067177,0.0487422329853,3.11470200659,0.779965071646,0.391061587057,-0.340671927445,-1.017195648,0.0780406835725,1.33673433088,-0.0897885180022,2.07728961661,0.990113360024,0.349483447438,1.91457004193,1.60390203339,0.189234094961,-0.903930004261
1996,-0.476588993663,0.671371118539,0.491316126342,0.271239586234,0.351237601123,-0.239930997545,0.738940545763,0.0,-0.0581397383927,0.930399871413,0.47026483095,0.194570124576,0.567213222726,2.02515633675,0.193688317292,-0.370200746843,0.0,0.425433359527,1.49959253521,-0.360978346643,1.17689407947,-0.0432666369389,-0.547835091312,2.03156692277,-0.271757194925,0.119281780038,0.0,-1.02834892232,0.607520690464,0.57391942536,0.250735975798,-0.919790994366,0.738511143181,1.65489880312,-0.0847570472598,-0.444865659429,-0.34806467123,0.565976894095,0.126691594051,-1.25786557826,0.360347899378,-1.39272604529,-0.10282571776,-0.491342723512,0.929862783906,0.845994780209,1.20287326095,1.02702101587,1.16829409222,-0.76883789525,0.0
1997,0.806535220044,0.565822638127,1.35351434248,0.405292526799,-0.109480824482,-0.503532317717,-0.223137407692,0.488810631616,-1.49952075271,-0.328298868184,-0.901340925987,0.68601012995,-0.730000874091,1.19821749924,0.0758741459001,1.49041027319,0.0,0.384572528386,0.971841026713,-1.46371768489,0.311626458853,-0.562466280206,-0.394346811418,0.563325341418,-0.352775098012,0.239710500269,-0.408216819178,-0.967959304402,0.706164513916,-0.469570438931,0.0,-0.813192700317,-0.271172060387,0.904244454715,-0.474280753332,-1.44940101943,-0.0560241080404,-0.22883633681,0.559297037152,-0.995810249454,-0.313117834896,-1.60283557799,0.357833497805,-0.755408260831,1.76435502587,0.845994780209,-0.788369637245,0.790341275586,1.16829409222,-0.102353032495,0.0
1998,-0.384937264112,0.0591899321523,0.251816621858,0.344359371997,-0.699425149952,0.249614311347,0.116419517057,0.0,-0.821223804796,-0.265012339377,-0.810656247842,-0.78830988617,-0.211115235364,0.371278661737,-0.00373002395912,1.80424827657,0.0,-0.936594345173,0.0525319473899,-1.5582381996,0.379937060481,0.0865332738778,-0.506511323648,0.143827746745,-0.595828807272,-0.0814327536798,-1.01082259987,-0.786790450637,0.552718566324,-0.469570438931,-0.471723615485,-1.23958587651,1.17604053139,0.613668577913,-0.767228333931,-1.47538038219,-0.765265475786,0.596546633745,-0.774569745742,-1.25786557826,-0.741686938525,-1.39272604529,0.271459894887,-0.71176106458,0.825551253661,-0.293852169232,0.0650201762676,-0.24513258815,0.0,-0.268974248183,-0.15065500071
1999,0.898186949595,-2.24880350618,-1.13728050415,0.68558503889,-1.0098482355,0.475558300066,-0.647583563628,0.0,-0.736436686307,-0.862718444772,-0.855998586914,0.334981554683,0.0483275839991,-0.8100625347,-0.236174199948,0.167807258949,0.0,-1.48140542705,-0.670998346522,-1.68426555254,-0.599181562847,-0.0432666369389,-0.447477369843,0.731124379287,-1.34119351567,-1.44629158296,-1.01082259987,-0.726400832716,-0.0829860736974,-0.469570438931,0.106244057542,-1.91470840549,0.839479463538,0.371522013911,-0.776885946478,-1.51867932012,0.0482760930987,-0.779091650513,-1.15910791739,0.183438730163,-1.7212734611,0.288150216268,-0.448320129434,-1.10458583084,-0.00894098830679,-0.883428177564,2.34072634563,-1.22143651681,0.48765668414,-0.76883789525,-0.753275003551
